income,fixed_expenses,weekly_food_spending,weekly_transport_spending,subscription_services_count,employment_status,age,last_month_spending,savings_last_month,next_month_spending_prediction,saving_suggestion
31564000,8144000,2557000,893000,6,Contract,34,25807000,5757000,25301195.53,Kurangi langganan aplikasi jasa yang jarang digunakan.
26304000,10188000,2573000,927000,0,Freelance,29,20187000,6117000,25431216.46,"Kurangi makan di luar, coba masak sendiri di rumah."
28285000,8167000,2920000,646000,2,Full-time,55,23713000,4572000,25076227.24,"Kurangi makan di luar, coba masak sendiri di rumah."
28493000,7796000,556000,169000,8,Student,53,11838000,16655000,10552982.18,Kurangi langganan aplikasi jasa yang jarang digunakan.
19606000,4926000,1431000,998000,7,Student,20,11895000,7711000,13957146.08,Kurangi langganan aplikasi jasa yang jarang digunakan.
38255000,15052000,707000,129000,6,Student,62,17404000,20851000,15978212.87,Kurangi langganan aplikasi jasa yang jarang digunakan.
40359000,15410000,1272000,670000,2,Businessman,46,3809000,36550000,28241893.67,"Sudah cukup hemat, pertahankan kebiasaan menabung."
40870000,14226000,1061000,251000,5,Full-time,49,25506000,15364000,19718029.77,"Sudah cukup hemat, pertahankan kebiasaan menabung."
43004000,14245000,970000,182000,9,Part-time,54,20620000,22384000,20301758.53,Kurangi langganan aplikasi jasa yang jarang digunakan.
39056000,9266000,377000,652000,1,Student,55,31077000,7979000,13816238.72,"Sudah cukup hemat, pertahankan kebiasaan menabung."
25078000,8013000,1263000,395000,6,Full-time,19,8156000,16922000,16494233.04,Kurangi langganan aplikasi jasa yang jarang digunakan.
33628000,11205000,506000,847000,5,Full-time,51,5241000,28387000,18527972.96,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
46321000,13751000,2494000,311000,0,Student,58,31447000,14874000,24320426.4,"Sudah cukup hemat, pertahankan kebiasaan menabung."
20397000,7250000,1502000,316000,1,Student,60,17778000,2619000,14202185.38,"Sudah cukup hemat, pertahankan kebiasaan menabung."
26792000,10348000,2559000,270000,0,Freelance,41,15697000,11095000,25475805.64,"Kurangi makan di luar, coba masak sendiri di rumah."
22784000,7873000,1215000,930000,7,Full-time,26,18449000,4335000,20141248.9,Kurangi langganan aplikasi jasa yang jarang digunakan.
20664000,4655000,2993000,405000,0,Full-time,57,13998000,6666000,20940620.87,"Kurangi makan di luar, coba masak sendiri di rumah."
20891000,7363000,1404000,985000,0,Contract,59,18499000,2392000,19534950.21,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
33403000,11828000,1464000,159000,9,Freelance,37,13643000,19760000,19344415.32,Kurangi langganan aplikasi jasa yang jarang digunakan.
26149000,5276000,463000,940000,4,Businessman,29,11128000,15021000,11858107.89,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
25365000,9667000,1181000,993000,10,Businessman,44,21659000,3706000,20046059.36,Kurangi langganan aplikasi jasa yang jarang digunakan.
24893000,6371000,1137000,464000,5,Businessman,53,16113000,8780000,14123021.33,"Sudah cukup hemat, pertahankan kebiasaan menabung."
44479000,12731000,1974000,328000,5,Freelance,57,8388000,36091000,23384408.96,"Sudah cukup hemat, pertahankan kebiasaan menabung."
18513000,4299000,881000,776000,1,Full-time,47,4609000,13904000,11574494.53,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
43128000,11485000,2800000,500000,9,Contract,26,37922000,5206000,24505930.89,Kurangi langganan aplikasi jasa yang jarang digunakan.
38131000,9050000,2860000,248000,0,Businessman,51,12555000,25576000,25967688.9,"Kurangi makan di luar, coba masak sendiri di rumah."
28000000,9589000,2695000,469000,2,Full-time,37,19140000,8860000,23700881.05,"Kurangi makan di luar, coba masak sendiri di rumah."
12407000,3872000,915000,994000,1,Full-time,29,5516000,6891000,13198079.49,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
38190000,14881000,2067000,110000,3,Contract,39,10253000,27937000,24429292.36,"Sudah cukup hemat, pertahankan kebiasaan menabung."
44337000,16554000,1042000,812000,5,Student,31,14269000,30068000,20880323.78,"Sudah cukup hemat, pertahankan kebiasaan menabung."
22056000,8297000,1531000,767000,6,Contract,53,18657000,3399000,19463290.14,Kurangi langganan aplikasi jasa yang jarang digunakan.
36215000,11462000,1905000,799000,1,Student,20,16216000,19999000,19026875.21,"Sudah cukup hemat, pertahankan kebiasaan menabung."
21950000,6868000,1738000,486000,6,Businessman,32,16979000,4971000,18938225.79,Kurangi langganan aplikasi jasa yang jarang digunakan.
36392000,11946000,689000,988000,6,Contract,44,28494000,7898000,20280317.12,Kurangi langganan aplikasi jasa yang jarang digunakan.
42368000,12627000,1356000,227000,8,Full-time,62,36633000,5735000,22881901.24,Kurangi langganan aplikasi jasa yang jarang digunakan.
39840000,15070000,1989000,348000,1,Freelance,28,8323000,31517000,27244995.95,"Sudah cukup hemat, pertahankan kebiasaan menabung."
36735000,12455000,2873000,809000,8,Part-time,23,8229000,28506000,27294243.57,Kurangi langganan aplikasi jasa yang jarang digunakan.
10324000,2535000,1453000,112000,3,Full-time,24,4850000,5474000,9594625.779,"Kurangi makan di luar, coba masak sendiri di rumah."
24603000,5332000,334000,862000,7,Contract,34,4694000,19909000,10836680.53,Kurangi langganan aplikasi jasa yang jarang digunakan.
41238000,8421000,2006000,696000,1,Businessman,55,35660000,5578000,19037988.25,"Sudah cukup hemat, pertahankan kebiasaan menabung."
32931000,10046000,851000,348000,0,Freelance,54,24012000,8919000,14836512.82,"Sudah cukup hemat, pertahankan kebiasaan menabung."
33596000,11225000,2359000,195000,5,Full-time,43,17163000,16433000,22802036.17,"Sudah cukup hemat, pertahankan kebiasaan menabung."
44916000,15991000,2768000,250000,10,Businessman,58,26393000,18523000,32179927.92,Kurangi langganan aplikasi jasa yang jarang digunakan.
15256000,4907000,732000,687000,1,Businessman,42,6000000,9256000,12775197.71,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
22717000,6353000,771000,697000,4,Student,60,8682000,14035000,10264890.92,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
19478000,4049000,1887000,656000,6,Contract,28,3275000,16203000,15076528.67,Kurangi langganan aplikasi jasa yang jarang digunakan.
42114000,10192000,427000,811000,10,Student,43,29615000,12499000,11703039.56,Kurangi langganan aplikasi jasa yang jarang digunakan.
26939000,9244000,1113000,892000,7,Full-time,25,23101000,3838000,18050102.95,Kurangi langganan aplikasi jasa yang jarang digunakan.
48079000,15687000,2981000,763000,7,Part-time,30,36201000,11878000,30335924.88,Kurangi langganan aplikasi jasa yang jarang digunakan.
26250000,5746000,2043000,612000,2,Full-time,30,18455000,7795000,18958301.86,"Kurangi makan di luar, coba masak sendiri di rumah."
35916000,10447000,1300000,800000,5,Student,42,7722000,28194000,17494441.83,"Sudah cukup hemat, pertahankan kebiasaan menabung."
36501000,13370000,1579000,223000,5,Freelance,45,15461000,21040000,23190258.87,"Sudah cukup hemat, pertahankan kebiasaan menabung."
39818000,15294000,1909000,934000,5,Full-time,51,34990000,4828000,30381060.3,"Sudah cukup hemat, pertahankan kebiasaan menabung."
42298000,9984000,1180000,967000,2,Full-time,59,4307000,37991000,20890998.08,"Sudah cukup hemat, pertahankan kebiasaan menabung."
25020000,9816000,2641000,425000,6,Full-time,47,14149000,10871000,23951543.36,Kurangi langganan aplikasi jasa yang jarang digunakan.
15100000,5040000,998000,947000,1,Part-time,29,5960000,9140000,13310531.03,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
37879000,14445000,2353000,265000,8,Contract,52,20638000,17241000,27558292.21,Kurangi langganan aplikasi jasa yang jarang digunakan.
35455000,7808000,2537000,894000,9,Student,19,10784000,24671000,19365312.69,Kurangi langganan aplikasi jasa yang jarang digunakan.
32154000,11731000,1084000,403000,1,Businessman,53,10721000,21433000,21440312.92,"Sudah cukup hemat, pertahankan kebiasaan menabung."
31159000,9899000,2089000,204000,6,Contract,37,21703000,9456000,18932400.69,Kurangi langganan aplikasi jasa yang jarang digunakan.
11934000,4366000,784000,674000,9,Contract,36,5673000,6261000,11019331.07,Kurangi langganan aplikasi jasa yang jarang digunakan.
32181000,11967000,2254000,864000,6,Businessman,38,14667000,17514000,30094278.01,Kurangi langganan aplikasi jasa yang jarang digunakan.
46522000,13470000,1775000,445000,3,Full-time,59,6301000,40221000,24700091.15,"Sudah cukup hemat, pertahankan kebiasaan menabung."
20762000,5116000,913000,535000,0,Businessman,34,14499000,6263000,14005412.21,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
29459000,8546000,2044000,162000,6,Full-time,31,6996000,22463000,18599267.33,Kurangi langganan aplikasi jasa yang jarang digunakan.
36038000,13991000,1626000,351000,10,Businessman,46,8706000,27332000,26503090.69,Kurangi langganan aplikasi jasa yang jarang digunakan.
43244000,16663000,2342000,217000,0,Full-time,23,15507000,27737000,29854708.71,"Sudah cukup hemat, pertahankan kebiasaan menabung."
49403000,14245000,472000,956000,8,Businessman,46,17539000,31864000,24869657.19,Kurangi langganan aplikasi jasa yang jarang digunakan.
16520000,5489000,1849000,699000,8,Contract,24,12783000,3737000,17204756.92,Kurangi langganan aplikasi jasa yang jarang digunakan.
43245000,8850000,2493000,717000,6,Freelance,20,6519000,36726000,23489182.89,Kurangi langganan aplikasi jasa yang jarang digunakan.
31769000,7938000,444000,779000,9,Full-time,54,21391000,10378000,15684430.77,Kurangi langganan aplikasi jasa yang jarang digunakan.
19338000,6196000,805000,891000,10,Freelance,35,5606000,13732000,14614166.43,Kurangi langganan aplikasi jasa yang jarang digunakan.
39181000,9224000,1060000,330000,2,Contract,20,11723000,27458000,15035100.52,"Sudah cukup hemat, pertahankan kebiasaan menabung."
41279000,15098000,2211000,490000,0,Freelance,62,26834000,14445000,27060783.25,"Sudah cukup hemat, pertahankan kebiasaan menabung."
28042000,6495000,1368000,719000,6,Full-time,30,23870000,4172000,17504792.57,Kurangi langganan aplikasi jasa yang jarang digunakan.
45864000,10076000,1084000,685000,3,Freelance,53,4334000,41530000,19424085.08,"Sudah cukup hemat, pertahankan kebiasaan menabung."
41645000,9482000,1960000,292000,6,Full-time,20,5467000,36178000,20660191.48,Kurangi langganan aplikasi jasa yang jarang digunakan.
28790000,7419000,1508000,313000,2,Student,29,8845000,19945000,13872223.38,"Sudah cukup hemat, pertahankan kebiasaan menabung."
10633000,2510000,711000,634000,1,Businessman,61,7076000,3557000,9117055.13,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
32766000,12777000,603000,549000,9,Contract,54,23966000,8800000,20765518.98,Kurangi langganan aplikasi jasa yang jarang digunakan.
28313000,10209000,604000,563000,3,Full-time,22,3723000,24590000,16350765.63,"Sudah cukup hemat, pertahankan kebiasaan menabung."
35239000,9847000,2853000,744000,4,Contract,41,23560000,11679000,25170114.86,"Kurangi makan di luar, coba masak sendiri di rumah."
27102000,7574000,2472000,153000,5,Contract,23,15982000,11120000,18343364.58,"Kurangi makan di luar, coba masak sendiri di rumah."
29327000,9933000,2753000,802000,0,Businessman,36,5304000,24023000,28596961.25,"Kurangi makan di luar, coba masak sendiri di rumah."
22559000,5486000,574000,952000,4,Student,65,4666000,17893000,10537554.46,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
33123000,9394000,868000,928000,10,Businessman,27,10513000,22610000,20918783.23,Kurangi langganan aplikasi jasa yang jarang digunakan.
24772000,5394000,490000,397000,8,Contract,57,19409000,5363000,8832462.211,Kurangi langganan aplikasi jasa yang jarang digunakan.
47144000,17500000,2646000,665000,1,Student,55,9909000,37235000,27110011.55,"Sudah cukup hemat, pertahankan kebiasaan menabung."
24223000,5496000,2109000,864000,10,Businessman,29,16393000,7830000,22579233.83,Kurangi langganan aplikasi jasa yang jarang digunakan.
11873000,2692000,587000,832000,0,Contract,18,4797000,7076000,8837762.024,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
49635000,18839000,2700000,576000,5,Contract,64,38561000,11074000,32873064.8,"Sudah cukup hemat, pertahankan kebiasaan menabung."
29539000,10793000,596000,638000,7,Businessman,57,4621000,24918000,18580156.18,Kurangi langganan aplikasi jasa yang jarang digunakan.
35950000,9648000,1818000,684000,7,Contract,57,23867000,12083000,19115890,Kurangi langganan aplikasi jasa yang jarang digunakan.
36424000,10373000,1627000,415000,5,Businessman,27,13315000,23109000,22928059.29,"Sudah cukup hemat, pertahankan kebiasaan menabung."
43810000,10915000,1664000,548000,7,Student,22,30110000,13700000,18644620.52,Kurangi langganan aplikasi jasa yang jarang digunakan.
48699000,12430000,2756000,999000,2,Businessman,54,28798000,19901000,31924190.31,"Sudah cukup hemat, pertahankan kebiasaan menabung."
23747000,7993000,2159000,836000,1,Freelance,54,6837000,16910000,21494159.86,"Kurangi makan di luar, coba masak sendiri di rumah."
23633000,7044000,855000,862000,5,Businessman,40,8599000,15034000,16908570.13,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
22483000,6066000,310000,354000,0,Freelance,33,3066000,19417000,9808536.924,"Sudah cukup hemat, pertahankan kebiasaan menabung."
44788000,16103000,571000,607000,8,Student,25,17300000,27488000,18297436.87,Kurangi langganan aplikasi jasa yang jarang digunakan.
44907000,17836000,699000,487000,7,Full-time,61,36856000,8051000,22111080.03,Kurangi langganan aplikasi jasa yang jarang digunakan.
33417000,11760000,898000,127000,1,Freelance,38,29320000,4097000,20426064.37,"Sudah cukup hemat, pertahankan kebiasaan menabung."
48796000,12614000,1302000,109000,10,Freelance,25,31723000,17073000,17424804.9,Kurangi langganan aplikasi jasa yang jarang digunakan.
26613000,10632000,438000,660000,0,Student,57,17329000,9284000,14361846.54,"Sudah cukup hemat, pertahankan kebiasaan menabung."
30040000,7611000,1682000,209000,9,Contract,54,26334000,3706000,17046296.4,Kurangi langganan aplikasi jasa yang jarang digunakan.
46456000,16542000,2319000,350000,8,Businessman,65,12284000,34172000,33036865.63,Kurangi langganan aplikasi jasa yang jarang digunakan.
48212000,13162000,862000,866000,7,Businessman,65,30269000,17943000,27334440.04,Kurangi langganan aplikasi jasa yang jarang digunakan.
45749000,12743000,1660000,104000,6,Student,19,34745000,11004000,19931466.23,Kurangi langganan aplikasi jasa yang jarang digunakan.
40998000,12279000,423000,476000,5,Part-time,65,4712000,36286000,15780054.52,"Sudah cukup hemat, pertahankan kebiasaan menabung."
34251000,13166000,1352000,107000,7,Contract,40,8398000,25853000,20818371.91,Kurangi langganan aplikasi jasa yang jarang digunakan.
25917000,10048000,879000,317000,9,Student,43,13646000,12271000,13130384.91,Kurangi langganan aplikasi jasa yang jarang digunakan.
35504000,10502000,1249000,119000,7,Student,53,17127000,18377000,13815145.08,Kurangi langganan aplikasi jasa yang jarang digunakan.
13965000,3980000,751000,212000,4,Contract,39,4275000,9690000,7957618.388,"Sudah cukup hemat, pertahankan kebiasaan menabung."
38262000,10237000,2533000,854000,6,Student,23,15726000,22536000,20852977.45,Kurangi langganan aplikasi jasa yang jarang digunakan.
33502000,8697000,1680000,809000,2,Contract,24,27901000,5601000,21704501.47,"Sudah cukup hemat, pertahankan kebiasaan menabung."
34518000,11805000,2029000,781000,7,Full-time,46,8942000,25576000,26034718.74,Kurangi langganan aplikasi jasa yang jarang digunakan.
18385000,4554000,1844000,777000,2,Part-time,22,7431000,10954000,14970620.78,"Kurangi makan di luar, coba masak sendiri di rumah."
27868000,6420000,1013000,735000,7,Student,51,15603000,12265000,12124926.88,Kurangi langganan aplikasi jasa yang jarang digunakan.
42173000,8589000,2284000,191000,5,Student,56,11590000,30583000,16931585.43,"Sudah cukup hemat, pertahankan kebiasaan menabung."
34067000,13230000,818000,182000,9,Contract,19,28587000,5480000,16663676.62,Kurangi langganan aplikasi jasa yang jarang digunakan.
43617000,14996000,393000,871000,0,Businessman,25,25644000,17973000,26640009.91,"Sudah cukup hemat, pertahankan kebiasaan menabung."
44827000,16204000,702000,372000,5,Part-time,59,29637000,15190000,19085279.97,"Sudah cukup hemat, pertahankan kebiasaan menabung."
37154000,12777000,1578000,900000,8,Businessman,56,13225000,23929000,27430604.52,Kurangi langganan aplikasi jasa yang jarang digunakan.
16690000,5713000,1835000,867000,8,Part-time,33,4423000,12267000,16291262.67,Kurangi langganan aplikasi jasa yang jarang digunakan.
49043000,11262000,1762000,205000,6,Student,20,43624000,5419000,19024719.07,Kurangi langganan aplikasi jasa yang jarang digunakan.
19520000,4534000,1590000,485000,4,Student,64,6176000,13344000,11153957.44,"Kurangi makan di luar, coba masak sendiri di rumah."
47310000,13848000,685000,576000,1,Part-time,60,15574000,31736000,18990336.25,"Sudah cukup hemat, pertahankan kebiasaan menabung."
39015000,10349000,2773000,375000,4,Freelance,25,15272000,23743000,26504463.09,"Sudah cukup hemat, pertahankan kebiasaan menabung."
37665000,14303000,2316000,256000,0,Contract,48,31760000,5905000,29056965.33,"Sudah cukup hemat, pertahankan kebiasaan menabung."
11454000,3733000,639000,157000,3,Full-time,40,5553000,5901000,7124101.347,"Sudah cukup hemat, pertahankan kebiasaan menabung."
46036000,9998000,1890000,410000,10,Student,20,20617000,25419000,16171912.46,Kurangi langganan aplikasi jasa yang jarang digunakan.
40776000,13689000,2061000,308000,9,Student,21,6313000,34463000,21112907.73,Kurangi langganan aplikasi jasa yang jarang digunakan.
20473000,6921000,2102000,874000,7,Freelance,20,3308000,17165000,20525101.63,Kurangi langganan aplikasi jasa yang jarang digunakan.
40721000,10997000,1402000,381000,0,Full-time,48,30361000,10360000,16702864.64,"Sudah cukup hemat, pertahankan kebiasaan menabung."
20571000,4679000,2040000,253000,5,Student,20,5127000,15444000,12480501.59,"Kurangi makan di luar, coba masak sendiri di rumah."
44696000,10447000,1693000,809000,7,Businessman,27,7760000,36936000,24881933.5,Kurangi langganan aplikasi jasa yang jarang digunakan.
37322000,12043000,1911000,332000,5,Part-time,49,23229000,14093000,22552304.94,"Sudah cukup hemat, pertahankan kebiasaan menabung."
39073000,12007000,969000,563000,6,Freelance,41,23131000,15942000,18032571.56,Kurangi langganan aplikasi jasa yang jarang digunakan.
30314000,7911000,906000,528000,6,Contract,59,15840000,14474000,14852489.3,Kurangi langganan aplikasi jasa yang jarang digunakan.
25446000,5210000,1136000,696000,2,Full-time,26,21025000,4421000,12736908.85,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
31427000,8303000,720000,498000,6,Full-time,49,5644000,25783000,14160723.96,Kurangi langganan aplikasi jasa yang jarang digunakan.
39799000,9395000,1452000,591000,10,Freelance,59,20218000,19581000,18661304.99,Kurangi langganan aplikasi jasa yang jarang digunakan.
31594000,7974000,2195000,270000,9,Contract,20,7030000,24564000,19312077.73,Kurangi langganan aplikasi jasa yang jarang digunakan.
42551000,16915000,2213000,546000,6,Freelance,42,28432000,14119000,32356954.9,Kurangi langganan aplikasi jasa yang jarang digunakan.
30371000,8017000,2187000,505000,1,Freelance,50,21418000,8953000,21083325.6,"Sudah cukup hemat, pertahankan kebiasaan menabung."
41519000,13483000,1542000,288000,2,Contract,52,17657000,23862000,20898434.46,"Sudah cukup hemat, pertahankan kebiasaan menabung."
29153000,7110000,2575000,756000,3,Full-time,42,10722000,18431000,22572877.72,"Kurangi makan di luar, coba masak sendiri di rumah."
38824000,12082000,943000,907000,10,Student,60,22226000,16598000,19368763.45,Kurangi langganan aplikasi jasa yang jarang digunakan.
49079000,14448000,1150000,198000,9,Businessman,52,37071000,12008000,22365082.9,Kurangi langganan aplikasi jasa yang jarang digunakan.
41982000,11476000,2087000,515000,4,Contract,43,13500000,28482000,23362726.01,"Sudah cukup hemat, pertahankan kebiasaan menabung."
47354000,13177000,808000,700000,2,Part-time,47,29206000,18148000,22012434.58,"Sudah cukup hemat, pertahankan kebiasaan menabung."
22967000,5512000,2311000,259000,8,Part-time,61,9014000,13953000,16225542.41,Kurangi langganan aplikasi jasa yang jarang digunakan.
24412000,7074000,1631000,947000,7,Freelance,19,16716000,7696000,20923714.57,Kurangi langganan aplikasi jasa yang jarang digunakan.
35978000,8785000,730000,868000,7,Freelance,41,15694000,20284000,16261497.65,Kurangi langganan aplikasi jasa yang jarang digunakan.
35234000,8276000,2583000,974000,1,Freelance,43,13881000,21353000,24995568.92,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
25693000,10247000,2299000,625000,5,Businessman,35,21084000,4609000,24761239.55,"Kurangi makan di luar, coba masak sendiri di rumah."
40071000,11675000,2886000,588000,1,Student,65,7157000,32914000,23032260.64,"Sudah cukup hemat, pertahankan kebiasaan menabung."
29777000,11569000,569000,323000,9,Full-time,50,25854000,3923000,17278824.84,Kurangi langganan aplikasi jasa yang jarang digunakan.
26598000,9283000,2426000,210000,7,Part-time,27,17160000,9438000,19896283.75,Kurangi langganan aplikasi jasa yang jarang digunakan.
27663000,7659000,2656000,824000,2,Part-time,25,10515000,17148000,22150303.96,"Kurangi makan di luar, coba masak sendiri di rumah."
24816000,9773000,2000000,193000,10,Freelance,49,5548000,19268000,20160284.01,Kurangi langganan aplikasi jasa yang jarang digunakan.
23838000,6592000,1331000,793000,2,Part-time,47,14088000,9750000,16301696.13,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
44536000,10928000,1741000,982000,6,Part-time,38,32934000,11602000,23118853.86,Kurangi langganan aplikasi jasa yang jarang digunakan.
7840000,1910000,1119000,232000,6,Freelance,50,4155000,3685000,8385844.58,Kurangi langganan aplikasi jasa yang jarang digunakan.
37012000,9388000,629000,809000,8,Businessman,61,23765000,13247000,19761788.03,Kurangi langganan aplikasi jasa yang jarang digunakan.
44446000,16182000,1896000,160000,3,Contract,23,15031000,29415000,25885055.87,"Sudah cukup hemat, pertahankan kebiasaan menabung."
21891000,6823000,1440000,111000,8,Full-time,36,9832000,12059000,15278541.73,Kurangi langganan aplikasi jasa yang jarang digunakan.
45122000,12621000,1479000,626000,10,Part-time,65,24615000,20507000,21784788.57,Kurangi langganan aplikasi jasa yang jarang digunakan.
37202000,14311000,2114000,980000,7,Freelance,33,3691000,33511000,29720177.54,Kurangi langganan aplikasi jasa yang jarang digunakan.
20361000,6770000,2497000,598000,1,Contract,31,11169000,9192000,19936504.66,"Kurangi makan di luar, coba masak sendiri di rumah."
29257000,9046000,2756000,514000,7,Full-time,65,20931000,8326000,25165012.01,Kurangi langganan aplikasi jasa yang jarang digunakan.
27279000,10423000,1241000,432000,8,Freelance,56,11631000,15648000,19626612.05,Kurangi langganan aplikasi jasa yang jarang digunakan.
44829000,15494000,1119000,883000,3,Freelance,30,4055000,40774000,25958442.55,"Sudah cukup hemat, pertahankan kebiasaan menabung."
37025000,13127000,2031000,639000,1,Full-time,56,30737000,6288000,23645952.58,"Sudah cukup hemat, pertahankan kebiasaan menabung."
16977000,6429000,2025000,153000,8,Full-time,21,15159000,1818000,15842460.42,Kurangi langganan aplikasi jasa yang jarang digunakan.
13866000,4914000,313000,867000,5,Contract,33,11614000,2252000,9493680.098,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
12781000,3241000,998000,442000,6,Contract,28,4580000,8201000,9936273.482,Kurangi langganan aplikasi jasa yang jarang digunakan.
26682000,9697000,1648000,188000,7,Freelance,45,4405000,22277000,18833753.9,Kurangi langganan aplikasi jasa yang jarang digunakan.
40776000,13351000,2281000,576000,9,Freelance,24,24854000,15922000,29350283.06,Kurangi langganan aplikasi jasa yang jarang digunakan.
43143000,11491000,811000,292000,8,Contract,27,3510000,39633000,17227404.39,Kurangi langganan aplikasi jasa yang jarang digunakan.
31909000,9639000,2691000,617000,6,Businessman,53,23153000,8756000,25706916.82,Kurangi langganan aplikasi jasa yang jarang digunakan.
25608000,6541000,2607000,169000,1,Student,25,3554000,22054000,16178253.26,"Kurangi makan di luar, coba masak sendiri di rumah."
29200000,10457000,347000,304000,9,Freelance,64,8037000,21163000,15094117.21,Kurangi langganan aplikasi jasa yang jarang digunakan.
45729000,15311000,2012000,321000,10,Part-time,30,34629000,11100000,23897727.69,Kurangi langganan aplikasi jasa yang jarang digunakan.
26652000,10640000,1522000,668000,4,Businessman,35,3946000,22706000,23040647.1,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
30714000,8904000,2519000,434000,10,Businessman,29,15120000,15594000,23998432.97,Kurangi langganan aplikasi jasa yang jarang digunakan.
26630000,8002000,2770000,907000,7,Contract,51,15685000,10945000,25071554.38,Kurangi langganan aplikasi jasa yang jarang digunakan.
49680000,13638000,2292000,861000,1,Businessman,29,17858000,31822000,32304864.13,"Sudah cukup hemat, pertahankan kebiasaan menabung."
39664000,12602000,2842000,930000,0,Full-time,47,3571000,36093000,30291410.2,"Sudah cukup hemat, pertahankan kebiasaan menabung."
15317000,5164000,433000,773000,5,Part-time,36,7452000,7865000,9450939.405,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
35660000,11700000,2383000,875000,5,Freelance,21,17196000,18464000,27751723.45,"Sudah cukup hemat, pertahankan kebiasaan menabung."
37203000,8055000,560000,733000,1,Businessman,46,8813000,28390000,14920726.13,"Sudah cukup hemat, pertahankan kebiasaan menabung."
32050000,12730000,2068000,947000,6,Freelance,23,23792000,8258000,25400369.25,Kurangi langganan aplikasi jasa yang jarang digunakan.
18050000,6193000,1405000,802000,0,Student,61,3665000,14385000,13833674.68,"Kurangi makan di luar, coba masak sendiri di rumah."
26365000,6397000,2271000,695000,1,Businessman,54,20610000,5755000,21221117.66,"Kurangi makan di luar, coba masak sendiri di rumah."
43549000,13227000,582000,975000,2,Part-time,18,16136000,27413000,18775865.39,"Sudah cukup hemat, pertahankan kebiasaan menabung."
47592000,12125000,550000,248000,3,Student,30,3987000,43605000,13859145.3,"Sudah cukup hemat, pertahankan kebiasaan menabung."
18580000,5594000,1324000,860000,0,Part-time,24,9472000,9108000,15011808.09,"Cobalah menggunakan transportasi umum seperti angkot, bus, atau KRL."
